,TH21,TH25,TH26,MG8,RG5,RG6,RG9,RG10,TH3,TH4,TH5,TH7,TH8,TH9,TH10,HF2,HF3,HF4,RG11,RG12,RG13,RG14
,56.4,47.5,52.9,50.25,23.5,23,34.2,30,23.5,17.7,6.8,23.55,17.8,26.25,18.9,32.5,47.1,47.2,42.3,50.6,34.45,39.8
0,464.5,563,612.5,512.5,376,421.5,462.5,462,382.5,393,469,500,395,377,404,492.5,422.5,369,527,522,460.5,559
2,437,465,461,411,286.5,384.5,384.5,370,313,333,232,402,324,299.5,263,420,347,338.5,467,468,409.5,466.5
4,372.5,441.5,443,361.5,248.5,312,364,317,273.5,286,226,357,290,265,249,381,302.5,318.5,402,451.5,353.5,425
9,337,331.5,370.5,305.5,186.5,243,301.5,276,214,240,158,261.5,220.5,241.5,207.5,299.5,243.5,257.5,286,365,293.5,325.5
14,279,250.5,282.5,233.5,151.5,161,218,234.5,190.5,191.5,141.5,218,154.5,214.5,174,224.5,220,230,233.5,294.5,226,238.5
29,163.5,129.5,181.5,122,33,13,100,135.5,99,70,96.5,99.5,48,184,123,73.5,159,142,91,167,119.5,93
180,59,83,60.5,78,69,73,68,60,76.25,85.25,48.75,88.25,80.5,97.75,82.25,74,65.5,60.5,72.5,76,80,84.5
