,GR10,GR13,GR15,GR16,GR4,GR5
,44.05,39.1,56.4,56.5,53.15,53.75
0,0,0,0,0,0,0
15,4.83,1.86,1.2,2.18,2.76,4.34
30,3.32,5.07,1.18,2.21,3.02,1.5
60,3.35,4.99,1.7,3.05,0.2,0.51
90,0.94,5.14,0.24,1.12,1.85,1.09
120,1.74,0,2.71,1.94,1.47,0.17
180,1.59,2.83,0.85,1.2,1.56,0.69
240,0.97,1.31,0.39,0.4,1.23,0.73
300,1,0.52,0.79,0.94,0.8,0.55
360,1.56,1.1,1.16,0.17,0.35,0.29
