,TH21,TH25,TH26,MG8,RG5,RG6,RG9,RG10,TH3,TH4,TH5,TH7,TH8,TH9,TH10,HF1,HF2,HF3,HF4,RG11,RG12,RG13,RG14,CM1,CM2,CM3,CM4,CM15,CM16,CM25,CM26,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24,GB14,GB15,GB36,GB37,CB6
,56.4,47.5,52.9,50.25,23.5,23,34.2,30,23.5,17.7,6.8,23.55,17.8,26.25,18.9,37.8,32.5,47.1,47.2,42.3,50.6,34.45,39.8,54,56,45,55,44.9,44.1,66.65,67.4,44.5,54.3,40.9,49.05,56.15,47.9,58.4,57.2,52.3,45.3,42.3,42.3,56.35,47.05,51.6,48.5,51.15,51.8,38,54,59,49,42.5
0,5.07,8.21,17.78,11.92,5.47,4.04,5.14,5.37,3.45,14.99,1.96,3.11,7.11,5.64,5.11,4.08,12.3,2.91,6.89,3.35,13.1,6.33,4.74,9.85,6.22,4.46,16.78,10.41,12.92,14.66,6.16,14.35,45.64,7.82,5.4,6.24,8.24,11.08,5.78,10.44,4.14,4.82,18.13,7.19,11.76,15.83,13.46,17.62,12.9,46.106,17.442,45.5,26.3,40.768
15,112.1,17.5,23.61,12.11,24.87,36.16,26.42,11.28,14.69,42.43,22.86,9.23,27.32,23.6,8.89,24.15,28.58,16.67,13.23,12.04,33.13,33.84,23.2,20.21,8.81,3.95,45.24,13.39,43.62,35.32,27.13,28.66,123.71,29.99,25.49,29.41,40.09,46.96,33.63,18.37,8.71,35.38,13.57,9.01,52.8,164.06,30.56,30.35,31.76,105.441,107.465,77.6,76.2,198.431
30,129.71,29.96,31.17,7.33,44.58,54.67,21.99,27.12,7.85,9.42,12.32,16.64,11.48,18.94,9.17,27.07,22.32,7.7,17.33,24.38,41.53,42.4,15.88,21.75,15.88,6.3,17.19,25.96,12.6,11.94,7.91,12.97,140.82,29.11,12.35,9.76,37.96,49.24,21.94,18.85,9.04,16.1,43.42,18,22.2,155.48,43.71,11.74,27.61,190.291,131.337,91,70.6,129.877
60,64.19,25.23,18.16,8.23,39.85,29.27,21.36,35.93,9.54,16.93,3.27,20.74,25.8,13.45,11.55,20.61,65.1,9.97,31.6,32.33,32.13,38.67,13.87,13.35,17.07,5.17,14.13,12.79,23.46,26.16,11.8,17.34,16.12,11.54,6.6,15.6,26.33,32.46,7.68,41.96,21.05,4.36,34.85,12.39,20.02,12.12,23.18,9.49,20.59,26.246,55.927,112.7,43.1,66.032
90,28.48,10.36,22.85,13.13,33.98,27.61,11.52,15.52,6.72,3.72,4.6,12.28,7.41,13.04,6.77,21.77,35.68,7.56,33.12,8.08,27.47,22.89,15.62,17.46,15.49,4.59,19.62,17.01,20.48,12.63,10.98,20.97,29.49,10.35,16.24,7.93,23.17,6.56,27.54,36.64,28.52,21.89,15.34,9.9,22.06,52.56,15.72,17.85,20.85,71.843,29.107,73,70.3,32.268
120,17.78,13.81,30.83,15.16,25.5,18.14,16.77,11.8,6.61,9.51,10.59,9.21,20.07,10.28,9.22,14.84,51.39,7.56,20.21,14.07,28.65,23.41,21.28,13.22,10.82,4.07,10.31,10.56,18.94,19.13,19.34,21.19,16.49,22.19,9.56,16.97,13.98,17.76,10.99,25.26,10.38,13.22,23.33,12.64,23.55,12.52,18.78,9.81,11.12,18.637,39.315,117.5,74,29.574
180,12.29,16.83,28.33,11.18,18.86,20.22,16.33,28.81,9.94,11.52,5.17,6.78,8.81,13.52,11.08,6.2,35.79,25.19,27.84,13.61,41.74,5.33,6.7,17.24,12.22,5.66,8.69,10.12,21.08,17.9,11.6,13.7,19.01,9.71,13.53,13.51,13.78,9.84,15.87,35.71,5.16,10.74,39.19,8.93,14.06,6.55,12.61,9.12,16.99,31.928,53.795,71,43.3,113.875
