,GR1,GR2,GR7,GR8
,46.275,38.6166666666667,44.1666666666667,42.4833333333333
0,0,0,0,0
15,25.5,40.6666666666667,31,34.3333333333333
30,29.5,45.6666666666667,35,44
60,35.5,53.3333333333333,31.6666666666667,57
90,42,54.3333333333333,36.6666666666667,61.3333333333333
120,46.5,54.3333333333333,42,56
180,46,46.6666666666667,40.3333333333333,46.6666666666667
240,37,33,30,35
300,27,23.3333333333333,19.3333333333333,24
