,GR1,GR2,GR7,GR8
,45.1666666666667,37.1,45.5,42.4
0,0,0,0,0
15,7.33333333333333,14.6666666666667,10,10.6666666666667
30,13.6666666666667,29.6666666666667,20.3333333333333,23.3333333333333
60,21.6666666666667,43,31,41.3333333333333
90,22.6666666666667,53.6666666666667,41,51.3333333333333
120,29,61,46.3333333333333,61.3333333333333
180,38.3333333333333,56.3333333333333,42.3333333333333,60
240,37,48,30,45.6666666666667
300,42,34.3333333333333,25.6666666666667,31
