,GR10,GR13,GR15,GR16,GR4,GR5
,44.05,39.1,56.4,56.5,53.15,53.75
0,90,80,86,81,86,73
15,117,96,93,95,117,100
30,120,121,91,107,129,97
60,117,117,124,103,103,91
90,91,102,91,78,116,91
120,95,83,82,107,114,83
180,98,88,89,94,96,95
240,95,96,83,79,102,97
300,85,78,86,90,93,76
360,82,88,91,79,85,75
