,GR1,GR2,GR7,GR8
,46.275,38.6166666666667,44.1666666666667,42.4833333333333
0,69,72,72.1666666666667,69
15,148.75,132.5,157.833333333333,122.5
30,153.5,133.833333333333,133.833333333333,126.5
60,139.75,124.833333333333,80.5,121.5
90,99.75,96.3333333333333,53.3333333333333,100.666666666667
120,83,69,53.5,61.3333333333333
180,67.25,65.8333333333333,59.3333333333333,54.8333333333333
240,62.75,66.1666666666667,57.8333333333333,53.6666666666667
300,63,66,60.1666666666667,65.6666666666667
