,GR10,GR13,GR15,GR16,GR4,GR5
,44.05,39.1,56.4,56.5,53.15,53.75
0,0,0,0,0,0,0
15,13,5,2,5,15,11
30,17,15,11,12,28,18
60,35,31,36,20,26,31
90,26,42,29,20,38,29
120,30,45,26,30,41,24
180,35,43,29,28,33,37
240,35,35,21,25,32,37
300,30,24,19,22,20,29
360,25,20,20,17,14,26
