,GR9,GR10,GR13,GR14,GR15,GR16,GR5
,35.1,44.2,34.9,51.65,53.25,56.45,50
0,6.92,5.06,10.2,8.61,3.01,4.54,6.74
15,19.2,21.08,18.55,43.02,13.82,28.08,37.79
30,10.66,20.59,21.56,77.12,12.54,26.38,36.18
60,4.08,13.57,13.95,5.29,6.48,9.9,23.46
90,5.78,15.93,21.72,12.97,8.16,8.8,28.7
120,10.2,11.05,23.6,10.87,6.44,3.31,16.54
180,5.53,13.63,20.62,11.84,7.58,9.93,19.09
240,2.98,8.81,12.37,4.48,2.77,5.4,16.97
300,9.95,12.75,15.51,21.1,4.98,5.19,16.45
360,5.08,6.93,7.41,4.05,3.91,4.11,9.47
