,GR9,GR10,GR13,GR14,GR15,GR16,GR5
,35.1,44.2,34.9,51.65,53.25,56.45,50
0,90,81,86,72,78,82,56
15,102,101,89,110,92,116,89
30,95,108,87,111,101,113,91
60,85,104,72,92,90,100,92
90,81,105,87,94,89,92,102
120,94,100,93,105,92,83,93
180,89,101,93,89,85,89,100
240,93,90,86,67,83,79,92
300,95,104,94,104,87,77,88
360,85,87,81,80,81,72,77
