,GR9,GR10,GR13,GR14,GR15,GR16,GR5
,35.1,44.2,34.9,51.65,53.25,56.45,50
0,0,0,0,0,0,0,0
15,4,14,2,13,13,33,9
30,6,14,4,20,18,38,17
60,10,15,9,19,16,47,26
90,13,21,11,34,17,53,33
120,20,23,14,41,25,50,34
180,20,25,16,39,25,44,33
240,21,16,14,30,22,28,37
300,16,14,16,28,27,18,41
360,13,12,18,22,16,10,30
